Symbol,Name,Sector,Industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
